20.174.15.226:443#AE [204.31ms]
103.57.251.124:443#AE [232.41ms]
109.61.42.37:443#AE [280.08ms]
38.54.8.167:443#AE [416.46ms]
176.97.78.80:8443#AE [428.45ms]
193.108.112.65:443#AL [585.69ms]
185.75.243.102:443#AL [599.92ms]
193.108.112.212:443#AL [601.26ms]
2.56.204.246:443#AM [246.18ms]
2.56.204.183:443#AM [247.32ms]
2.56.205.166:443#AM [258.91ms]
2.56.206.64:443#AM [295.74ms]
2.56.206.114:8443#AM [296.77ms]
149.33.19.136:2053#AR [473.9ms]
130.195.222.215:443#AT [225.91ms]
46.102.156.144:8443#AT [262.49ms]
38.180.143.51:8443#AT [289.47ms]
185.119.117.146:8443#AT [299.56ms]
203.98.67.234:443#AT [312.83ms]
209.38.82.114:443#AU [259.57ms]
209.38.22.182:443#AU [264.01ms]
209.38.23.235:443#AU [282.18ms]
120.88.129.193:8443#AU [284.09ms]
170.64.245.159:443#AU [291.87ms]
38.54.42.124:443#BD [498.32ms]
104.155.124.198:443#BE [176.5ms]
113.30.152.144:443#BE [180.66ms]
141.98.233.6:443#BE [256.09ms]
141.98.233.190:8443#BE [258.1ms]
113.30.152.120:443#BE [286.55ms]
146.19.80.179:8443#BG [292.51ms]
193.37.212.56:2053#BG [304.41ms]
212.113.118.25:443#BG [306.13ms]
91.92.136.216:2053#BG [317.19ms]
195.123.225.29:443#BG [342.57ms]
132.226.163.224:8443#BR [367.87ms]
132.226.163.224:2053#BR [368.17ms]
216.238.116.196:8443#BR [412.26ms]
216.238.105.66:443#BR [413.43ms]
146.235.59.153:2053#BR [434.66ms]
185.179.82.201:443#BY [409.93ms]
93.85.88.60:2053#BY [450.82ms]
93.85.88.60:8443#BY [510.5ms]
185.66.71.149:2053#BY [533.68ms]
23.173.104.236:2053#CA [254.55ms]
23.173.104.216:2053#CA [259.69ms]
96.44.136.186:2053#CA [262.02ms]
23.173.104.230:2053#CA [263.15ms]
23.173.104.229:2053#CA [266.51ms]
103.63.30.230:443#CH [180.21ms]
107.189.7.124:2053#CH [209.4ms]
140.238.208.240:443#CH [250.14ms]
132.243.161.155:2053#CH [254.29ms]
199.68.196.28:443#CH [255.2ms]
64.176.15.110:2053#CL [376.94ms]
64.176.10.195:443#CL [379.97ms]
64.176.9.170:8443#CL [395.53ms]
64.176.4.154:8443#CL [411.94ms]
64.176.17.245:443#CL [433.13ms]
91.148.134.83:2053#CO [485.83ms]
91.148.134.83:8443#CO [514.56ms]
171.22.127.164:443#CZ [286.43ms]
109.172.9.38:443#CZ [292.19ms]
62.233.57.156:443#CZ [296.14ms]
109.172.9.107:2087#CZ [335.24ms]
37.205.15.169:443#CZ [351.04ms]
104.194.156.228:8443#DE [150.32ms]
104.194.156.164:8443#DE [157.45ms]
57.129.63.64:8443#DE [162.21ms]
57.129.63.145:2053#DE [优选高速165.0ms]
135.125.133.217:8443#DE [167.02ms]
109.176.202.20:443#DK [277.07ms]
92.119.129.148:8443#DK [289.71ms]
77.37.96.247:443#DK [371.47ms]
77.37.96.132:443#DK [372.7ms]
193.233.253.175:2053#DK [380.39ms]
95.85.249.28:8443#EE [252.1ms]
95.85.243.122:443#EE [252.87ms]
138.124.4.88:443#EE [273.25ms]
69.12.83.125:443#EE [281.0ms]
5.189.254.235:443#EE [322.71ms]
38.54.59.70:443#EG [417.98ms]
212.227.90.142:443#ES [263.01ms]
103.45.245.208:2053#ES [263.31ms]
212.227.144.37:8443#ES [266.37ms]
103.45.245.208:8443#ES [307.52ms]
138.124.62.122:2053#ES [330.27ms]
109.206.236.175:2053#FI [182.35ms]
104.252.127.190:8443#FI [190.35ms]
103.71.22.234:443#FI [191.86ms]
104.252.127.38:2053#FI [194.32ms]
95.85.242.45:443#FI [196.91ms]
62.171.170.182:2053#FR [166.07ms]
104.252.30.92:8443#FR [169.33ms]
104.238.191.141:443#FR [190.74ms]
109.199.126.6:443#FR [197.21ms]
62.60.151.6:443#FR [208.3ms]
109.120.176.88:8443#GB [159.29ms]
109.120.138.102:443#GB [172.22ms]
57.129.137.79:443#GB [174.41ms]
57.129.137.54:443#GB [174.52ms]
57.129.137.77:8443#GB [179.14ms]
206.53.48.65:443#GE [464.3ms]
91.250.248.151:443#GR [332.85ms]
38.54.29.210:2053#GR [421.9ms]
122.10.119.252:443#HK [52.59ms]
140.235.36.50:443#HK [146.92ms]
103.192.179.132:443#HK [153.89ms]
38.22.94.56:8443#HK [158.88ms]
149.104.6.78:8443#HK [180.03ms]
5.181.2.78:8443#HR [362.62ms]
5.181.2.41:8443#HR [363.71ms]
5.181.2.248:8443#HR [364.84ms]
38.180.109.174:443#HU [300.59ms]
91.219.238.217:8443#HU [330.99ms]
91.219.236.202:2053#HU [334.85ms]
91.219.237.49:443#HU [358.6ms]
5.182.38.111:443#HU [359.33ms]
172.232.226.233:443#ID [382.79ms]
156.244.1.250:8443#ID [395.26ms]
82.153.226.158:8443#ID [578.35ms]
63.32.194.15:8443#IE [218.29ms]
63.32.194.15:2053#IE [249.33ms]
54.220.80.89:2053#IE [286.77ms]
54.229.164.147:8443#IE [332.02ms]
54.229.164.147:2053#IE [333.46ms]
64.176.167.56:8443#IL [294.74ms]
64.176.170.68:8443#IL [298.77ms]
77.91.69.141:8443#IL [431.06ms]
77.91.69.141:2053#IL [432.38ms]
185.162.127.54:443#IL [454.92ms]
98.70.26.236:443#IN [优选高速135.37ms]
20.235.220.189:443#IN [200.93ms]
20.235.105.146:443#IN [202.71ms]
139.84.146.103:8443#IN [282.57ms]
139.84.221.153:8443#IN [294.93ms]
45.83.21.10:8443#IS [339.34ms]
194.247.182.120:8443#IS [431.51ms]
45.83.21.111:8443#IS [452.31ms]
89.221.224.101:8443#IS [458.22ms]
89.221.224.101:2053#IS [459.5ms]
147.45.51.217:443#IT [302.83ms]
72.146.234.10:443#IT [303.49ms]
151.241.215.148:443#IT [319.5ms]
194.165.59.20:443#IT [320.39ms]
172.238.238.203:2053#IT [351.92ms]
108.160.133.80:443#JP [优选高速96.84ms]
140.238.51.35:443#JP [优选高速109.36ms]
140.83.34.214:8443#JP [优选高速111.3ms]
212.135.211.5:8443#JP [147.15ms]
212.135.211.58:443#JP [优选高速148.26ms]
5.144.180.142:443#KG [383.31ms]
188.240.213.98:8443#KG [417.95ms]
188.240.213.98:2053#KG [439.41ms]
38.54.4.209:443#KH [420.75ms]
129.154.50.159:443#KR [优选高速104.86ms]
103.78.133.103:443#KR [137.98ms]
152.67.208.8:443#KR [优选高速159.99ms]
144.24.73.232:443#KR [优选高速198.64ms]
144.24.68.111:443#KR [199.44ms]
104.238.24.164:443#KZ [203.66ms]
104.238.24.139:8443#KZ [210.53ms]
104.238.24.247:443#KZ [224.95ms]
213.155.29.242:443#KZ [271.87ms]
195.58.52.52:8443#KZ [293.07ms]
103.231.72.6:8443#LT [190.03ms]
103.231.72.4:443#LT [227.56ms]
130.12.171.173:443#LT [241.1ms]
103.231.72.6:2053#LT [253.41ms]
195.238.126.11:443#LT [272.55ms]
138.124.182.204:443#LV [203.33ms]
217.60.4.249:443#LV [247.55ms]
217.60.0.95:443#LV [265.11ms]
195.123.210.147:443#LV [265.66ms]
217.28.49.84:8443#LV [270.02ms]
45.86.86.53:443#MD [328.38ms]
