20.174.15.226:443#AE [16.86Mbps]
193.123.74.174:8443#AE [0.00Mbps]
109.61.42.37:443#AE [0.00Mbps]
139.185.38.137:2053#AE [11.87Mbps]
38.54.8.167:443#AE [7.70Mbps]
147.78.0.186:8443#AE [10.76Mbps]
147.78.0.186:2053#AE [10.18Mbps]
176.97.78.80:8443#AE [0.00Mbps]
45.86.228.104:443#AE [8.85Mbps]
80.227.252.11:8443#AE [7.66Mbps]
193.108.112.17:443#AL [7.99Mbps]
45.15.170.209:8443#AL [9.79Mbps]
193.108.112.65:443#AL [8.40Mbps]
185.75.243.102:443#AL [9.56Mbps]
85.155.228.195:443#AL [6.17Mbps]
91.132.132.243:8443#AM [11.95Mbps]
185.234.57.134:443#AM [8.02Mbps]
185.234.57.153:443#AM [11.73Mbps]
91.132.132.233:443#AM [9.78Mbps]
194.156.103.36:2053#AM [11.46Mbps]
149.33.19.136:2053#AR [6.91Mbps]
132.243.203.203:8443#AT [11.63Mbps]
132.243.203.210:8443#AT [0.00Mbps]
132.243.203.216:8443#AT [9.05Mbps]
132.243.203.208:8443#AT [12.12Mbps]
185.175.58.196:443#AT [16.32Mbps]
132.243.203.206:8443#AT [13.37Mbps]
130.195.222.215:443#AT [11.97Mbps]
46.102.156.144:8443#AT [14.55Mbps]
132.243.203.215:8443#AT [9.82Mbps]
132.243.203.112:8443#AT [9.74Mbps]
193.177.221.29:443#AU [18.24Mbps]
170.64.245.159:443#AU [13.69Mbps]
209.38.22.182:443#AU [0.00Mbps]
170.64.229.30:443#AU [11.67Mbps]
170.64.163.39:443#AU [0.00Mbps]
170.64.232.210:443#AU [0.00Mbps]
209.38.82.114:443#AU [10.40Mbps]
209.38.23.235:443#AU [0.00Mbps]
170.64.237.192:443#AU [5.69Mbps]
51.161.196.38:443#AU [9.80Mbps]
180.149.44.54:443#AZ [6.49Mbps]
45.15.178.235:8443#BA [8.24Mbps]
45.8.147.11:443#BA [6.19Mbps]
38.54.42.124:443#BD [6.14Mbps]
194.71.227.213:443#BE [7.97Mbps]
194.87.73.58:8443#BE [0.00Mbps]
45.83.20.29:443#BE [11.00Mbps]
95.164.62.196:443#BE [10.83Mbps]
38.180.18.43:8443#BE [6.43Mbps]
35.241.172.224:443#BE [12.76Mbps]
188.190.26.243:443#BE [16.39Mbps]
109.89.106.12:443#BE [6.87Mbps]
141.98.233.190:8443#BE [9.74Mbps]
95.139.91.132:443#BE [0.00Mbps]
94.72.140.210:443#BG [12.79Mbps]
45.136.198.114:8443#BG [10.87Mbps]
94.156.35.128:2053#BG [9.55Mbps]
104.152.48.205:8443#BG [14.53Mbps]
185.141.61.113:443#BG [0.00Mbps]
91.92.136.216:2053#BG [10.34Mbps]
152.89.28.215:443#BG [14.88Mbps]
91.92.136.69:443#BG [12.98Mbps]
193.37.212.56:2053#BG [12.07Mbps]
185.148.146.9:443#BG [10.54Mbps]
146.235.59.153:2053#BR [6.06Mbps]
146.235.59.153:8443#BR [7.74Mbps]
132.226.163.224:8443#BR [0.00Mbps]
132.226.163.224:2053#BR [0.00Mbps]
216.238.116.196:8443#BR [8.11Mbps]
216.238.110.198:8443#BR [8.36Mbps]
38.180.79.9:443#BR [0.00Mbps]
38.180.78.255:443#BR [0.00Mbps]
94.131.19.10:8443#BR [0.00Mbps]
94.141.97.10:443#BR [6.67Mbps]
80.71.159.199:8443#BY [18.08Mbps]
185.179.82.201:443#BY [14.52Mbps]
185.66.71.149:2053#BY [10.17Mbps]
93.85.88.60:2053#BY [0.00Mbps]
150.242.90.205:443#CA [13.38Mbps]
23.173.104.203:2053#CA [13.07Mbps]
23.173.104.217:2053#CA [11.53Mbps]
44.32.224.198:443#CA [11.63Mbps]
23.173.104.204:2053#CA [12.91Mbps]
23.173.104.235:2053#CA [11.83Mbps]
23.173.104.223:2053#CA [12.60Mbps]
23.173.104.199:2053#CA [11.85Mbps]
23.173.104.197:2053#CA [11.82Mbps]
44.32.224.209:443#CA [11.76Mbps]
45.59.124.177:443#CH [13.34Mbps]
91.245.225.69:443#CH [8.16Mbps]
91.90.193.138:443#CH [15.02Mbps]
45.59.124.39:443#CH [13.58Mbps]
83.228.198.53:8443#CH [10.90Mbps]
45.59.122.195:443#CH [9.70Mbps]
146.70.71.157:443#CH [12.16Mbps]
38.180.84.40:443#CH [12.63Mbps]
83.228.207.179:443#CH [8.28Mbps]
45.90.57.139:8443#CH [8.39Mbps]
5.180.29.91:443#CL [0.00Mbps]
64.176.15.110:2053#CL [7.90Mbps]
64.176.4.154:8443#CL [7.62Mbps]
64.176.10.195:443#CL [6.85Mbps]
64.176.11.9:8443#CL [6.66Mbps]
64.176.9.170:8443#CL [8.07Mbps]
39.108.133.242:8443#CN [19.79Mbps]
91.148.134.83:8443#CO [6.62Mbps]
91.148.134.83:2053#CO [8.21Mbps]
134.255.210.217:443#CY [10.48Mbps]
193.24.232.154:2053#CY [6.83Mbps]
193.201.15.39:443#CY [9.17Mbps]
185.253.46.31:443#CZ [10.72Mbps]
2.56.176.32:443#CZ [12.05Mbps]
185.253.47.6:443#CZ [11.05Mbps]
37.205.15.169:443#CZ [12.69Mbps]
2.56.176.32:8443#CZ [11.06Mbps]
185.253.46.5:443#CZ [8.63Mbps]
185.253.46.27:443#CZ [13.57Mbps]
195.123.244.83:443#CZ [15.77Mbps]
38.180.48.182:8443#CZ [12.65Mbps]
185.253.46.235:443#CZ [11.79Mbps]
57.129.47.78:8443#DE [11.72Mbps]
57.129.63.53:2053#DE [11.20Mbps]
95.85.233.2:443#DE [6.63Mbps]
54.38.156.135:443#DE [0.00Mbps]
57.129.47.47:8443#DE [11.30Mbps]
178.215.238.228:8443#DE [17.19Mbps]
57.129.47.39:8443#DE [10.59Mbps]
212.192.246.167:443#DE [12.57Mbps]
57.129.81.233:2053#DE [8.07Mbps]
94.159.102.181:443#DE [10.52Mbps]
77.37.97.33:8443#DK [15.03Mbps]
193.180.208.58:443#DK [12.40Mbps]
193.181.211.52:2053#DK [12.47Mbps]
45.136.71.201:443#DK [12.36Mbps]
193.181.210.149:443#DK [12.04Mbps]
193.181.213.227:443#DK [10.27Mbps]
92.113.146.87:443#DK [12.87Mbps]
193.180.209.21:443#DK [18.37Mbps]
92.113.149.160:443#DK [6.76Mbps]
45.153.48.166:443#DK [15.61Mbps]
130.94.116.44:443#EC [0.00Mbps]
188.214.37.48:443#EE [9.84Mbps]
176.97.74.41:2053#EE [11.95Mbps]
69.12.83.170:443#EE [11.41Mbps]
5.101.116.231:443#EE [13.45Mbps]
5.101.114.105:443#EE [10.08Mbps]
176.97.74.132:2053#EE [12.25Mbps]
5.101.114.44:2053#EE [12.21Mbps]
38.180.216.120:443#EE [8.46Mbps]
159.253.18.70:443#EE [11.25Mbps]
5.45.114.210:8443#EE [10.35Mbps]
92.178.109.187:443#ES [10.51Mbps]
185.231.204.186:443#ES [0.00Mbps]
65.20.100.228:443#ES [14.19Mbps]
212.227.144.37:8443#ES [12.24Mbps]
217.72.207.16:8443#ES [10.60Mbps]
93.93.119.91:443#ES [11.16Mbps]
85.90.217.58:443#ES [10.18Mbps]
194.4.48.172:443#ES [11.55Mbps]
31.57.190.27:443#ES [9.43Mbps]
208.85.19.254:8443#ES [11.55Mbps]
91.103.140.92:8443#FI [9.85Mbps]
193.124.181.187:2053#FI [10.19Mbps]
46.17.106.121:443#FI [9.46Mbps]
5.181.20.175:443#FI [14.77Mbps]
95.182.115.50:8443#FI [10.53Mbps]
77.42.43.113:443#FI [7.94Mbps]
188.215.31.141:8443#FI [11.80Mbps]
185.92.183.57:443#FI [11.91Mbps]
77.221.144.41:2053#FI [10.71Mbps]
171.22.114.27:2053#FI [14.12Mbps]
51.77.140.100:8443#FR [9.89Mbps]
62.84.183.222:443#FR [10.19Mbps]
51.91.253.218:8443#FR [10.01Mbps]
38.244.212.54:8443#FR [9.09Mbps]
144.91.89.54:8443#FR [7.32Mbps]
51.77.140.104:8443#FR [11.10Mbps]
51.77.141.103:8443#FR [11.36Mbps]
31.56.48.63:2053#FR [8.92Mbps]
51.77.140.9:8443#FR [11.11Mbps]
51.91.102.26:2053#FR [11.28Mbps]
176.124.199.233:443#GB [13.02Mbps]
217.144.185.249:443#GB [9.06Mbps]
57.129.137.52:8443#GB [5.83Mbps]
217.144.185.34:8443#GB [16.10Mbps]
62.60.244.43:443#GB [16.39Mbps]
57.129.137.214:8443#GB [7.42Mbps]
57.129.131.163:8443#GB [9.45Mbps]
62.60.244.195:8443#GB [12.40Mbps]
62.60.217.133:8443#GB [15.98Mbps]
62.60.217.186:443#GB [12.60Mbps]
206.53.48.65:443#GE [7.40Mbps]
38.54.29.210:2053#GR [7.68Mbps]
91.250.248.151:443#GR [7.56Mbps]
149.104.4.249:2053#HK [高速 by Jz 44.24Mbps]
43.168.16.112:443#HK [高速 by Jz 60.83Mbps]
45.147.26.52:8443#HK [高速 by Jz 38.41Mbps]
206.237.21.185:8443#HK [0.00Mbps]
68.64.182.39:443#HK [0.00Mbps]
8.223.63.189:443#HK [高速 by Jz 27.11Mbps]
185.243.240.111:443#HK [6.43Mbps]
47.239.231.121:443#HK [0.00Mbps]
68.64.176.135:443#HK [高速 by Jz 34.85Mbps]
38.190.210.250:443#HK [0.00Mbps]
5.181.2.78:8443#HR [8.69Mbps]
5.181.2.41:443#HR [10.73Mbps]
5.181.2.71:443#HR [10.65Mbps]
5.181.2.41:8443#HR [8.34Mbps]
5.181.2.248:8443#HR [10.18Mbps]
91.219.237.49:443#HU [9.80Mbps]
180.149.37.38:8443#HU [9.94Mbps]
38.180.225.166:443#HU [6.71Mbps]
77.91.72.13:443#HU [6.62Mbps]
5.182.38.111:443#HU [8.40Mbps]
38.180.108.148:443#HU [16.55Mbps]
91.219.236.202:2053#HU [10.03Mbps]
38.180.225.181:443#HU [10.99Mbps]
38.180.109.174:443#HU [10.30Mbps]
91.219.236.202:8443#HU [9.77Mbps]
156.244.1.250:8443#ID [10.99Mbps]
172.232.226.233:443#ID [0.00Mbps]
195.86.13.120:443#ID [9.91Mbps]
202.10.40.237:443#ID [0.00Mbps]
202.155.18.38:8443#ID [0.00Mbps]
34.240.243.226:443#IE [12.00Mbps]
52.19.138.237:8443#IE [10.28Mbps]
63.32.194.15:8443#IE [15.26Mbps]
54.229.164.147:2053#IE [10.11Mbps]
52.19.138.237:2053#IE [14.41Mbps]
54.229.164.147:8443#IE [9.10Mbps]
20.67.254.104:443#IE [9.05Mbps]
34.250.168.254:443#IE [9.91Mbps]
23.95.225.10:2053#IE [0.00Mbps]
23.95.225.10:8443#IE [0.00Mbps]
91.225.218.230:443#IL [9.74Mbps]
64.176.170.68:8443#IL [10.51Mbps]
64.176.167.56:8443#IL [10.09Mbps]
185.239.48.207:443#IL [10.52Mbps]
94.131.114.83:443#IL [8.17Mbps]
185.239.48.252:443#IL [9.28Mbps]
77.91.69.141:2053#IL [10.62Mbps]
185.239.48.55:8443#IL [10.88Mbps]
80.178.58.56:443#IL [8.72Mbps]
192.71.27.237:443#IL [0.00Mbps]
129.154.251.13:443#IN [11.01Mbps]
20.235.105.146:443#IN [10.34Mbps]
45.89.105.65:2053#IN [13.02Mbps]
20.219.46.208:8443#IN [0.00Mbps]
65.20.85.14:443#IN [20.27Mbps]
195.35.21.37:443#IN [11.01Mbps]
139.84.168.252:8443#IN [14.39Mbps]
139.84.168.252:2053#IN [13.80Mbps]
45.89.105.211:443#IN [8.54Mbps]
143.110.247.61:2096#IN [5.66Mbps]
89.221.224.101:2053#IS [0.00Mbps]
89.221.224.101:8443#IS [0.00Mbps]
45.83.21.111:8443#IS [6.14Mbps]
194.247.182.120:8443#IS [8.68Mbps]
89.147.109.212:443#IS [0.00Mbps]
89.147.111.223:2053#IS [0.00Mbps]
132.243.205.93:8443#IT [13.60Mbps]
132.243.205.69:8443#IT [9.35Mbps]
132.243.205.81:8443#IT [11.24Mbps]
132.243.205.75:8443#IT [9.12Mbps]
132.243.205.63:8443#IT [9.67Mbps]
45.92.70.176:8443#IT [8.07Mbps]
194.87.47.205:443#IT [0.00Mbps]
89.46.70.46:443#IT [10.89Mbps]
80.211.48.113:443#IT [13.95Mbps]
132.243.205.99:8443#IT [16.13Mbps]
54.238.157.207:443#JP [高速 by Jz 36.59Mbps]
52.196.144.46:443#JP [0.00Mbps]
8.209.231.3:443#JP [0.00Mbps]
45.78.33.200:8443#JP [高速 by Jz 40.03Mbps]
47.242.28.106:443#JP [0.00Mbps]
8.216.6.167:443#JP [高速 by Jz 37.84Mbps]
35.79.146.187:443#JP [高速 by Jz 37.09Mbps]
141.98.198.50:8443#JP [0.00Mbps]
132.145.127.203:8443#JP [11.71Mbps]
140.238.58.181:2053#JP [15.51Mbps]
188.240.213.98:2053#KG [0.00Mbps]
5.144.180.142:443#KG [9.60Mbps]
188.240.213.41:2053#KG [0.00Mbps]
188.240.213.98:8443#KG [5.68Mbps]
129.154.50.159:443#KR [13.44Mbps]
168.107.13.136:8443#KR [23.75Mbps]
43.200.87.5:443#KR [高速 by Jz 27.42Mbps]
64.176.226.26:8443#KR [12.18Mbps]
158.247.246.18:443#KR [12.42Mbps]
119.205.235.58:443#KR [0.00Mbps]
130.162.130.105:443#KR [0.00Mbps]
146.56.188.74:443#KR [0.00Mbps]
130.162.132.38:443#KR [6.17Mbps]
132.145.91.181:8443#KR [0.00Mbps]
195.49.215.254:8443#KZ [9.98Mbps]
83.97.77.63:2053#KZ [10.61Mbps]
91.217.10.241:443#KZ [6.43Mbps]
185.36.144.134:443#KZ [0.00Mbps]
195.210.47.233:8443#KZ [9.39Mbps]
91.201.214.192:443#KZ [6.68Mbps]
91.147.92.192:443#KZ [10.16Mbps]
91.224.74.186:8443#KZ [8.32Mbps]
5.39.253.51:8443#KZ [0.00Mbps]
83.97.77.35:2053#KZ [12.27Mbps]
5.199.169.243:443#LT [14.67Mbps]
103.231.72.4:443#LT [6.44Mbps]
103.231.72.6:2053#LT [11.75Mbps]
103.231.72.240:443#LT [15.26Mbps]
195.238.126.11:443#LT [14.73Mbps]
103.113.69.63:443#LT [13.91Mbps]
103.231.72.6:8443#LT [13.37Mbps]
130.12.171.173:443#LT [12.70Mbps]
185.80.128.115:8443#LT [7.63Mbps]
46.29.234.155:8443#LT [9.77Mbps]
217.60.6.47:443#LV [12.26Mbps]
185.250.150.28:443#LV [0.06Mbps]
146.19.84.90:2053#LV [8.28Mbps]
217.60.4.19:443#LV [13.90Mbps]
194.8.6.59:443#LV [12.04Mbps]
37.233.82.113:443#LV [8.38Mbps]
31.56.28.236:443#LV [9.32Mbps]
31.56.117.108:2096#LV [12.87Mbps]
72.56.52.196:2053#LV [11.72Mbps]
31.56.27.128:443#LV [11.83Mbps]
194.48.248.157:443#MD [8.06Mbps]
166.88.234.116:443#MD [12.00Mbps]
91.208.162.68:443#MD [8.56Mbps]
193.42.108.114:443#MD [10.43Mbps]
91.208.184.71:8443#MD [6.11Mbps]
176.123.1.97:443#MD [10.45Mbps]
176.123.2.196:443#MD [12.67Mbps]
217.156.65.142:443#MD [11.36Mbps]
194.58.45.120:2053#MD [11.08Mbps]
176.123.1.204:443#MD [10.63Mbps]
89.185.82.38:8443#MK [9.54Mbps]
89.185.82.90:8443#MK [7.36Mbps]
89.185.82.124:8443#MK [8.45Mbps]
45.83.141.93:443#MK [7.52Mbps]
195.144.24.34:443#MK [8.49Mbps]
45.202.246.172:443#MO [5.61Mbps]
216.238.79.83:8443#MX [10.13Mbps]
216.238.82.140:8443#MX [10.26Mbps]
216.238.80.148:8443#MX [11.14Mbps]
159.54.134.203:443#MX [10.18Mbps]
216.238.88.154:8443#MX [8.84Mbps]
131.196.254.211:443#MX [0.00Mbps]
131.196.254.203:443#MX [0.00Mbps]
131.196.253.141:443#MX [6.77Mbps]
45.170.244.62:443#MX [0.00Mbps]
131.196.254.151:443#MX [7.36Mbps]
96.126.190.196:443#MY [0.00Mbps]
23.27.28.216:8443#MY [0.00Mbps]
38.54.112.233:443#MY [9.35Mbps]
185.128.227.27:443#MY [9.57Mbps]
45.89.107.78:2053#MY [0.00Mbps]
45.89.107.146:443#MY [9.34Mbps]
146.19.254.63:443#NL [5.84Mbps]
62.60.245.62:443#NL [13.21Mbps]
138.226.220.60:443#NL [12.54Mbps]
62.60.244.25:443#NL [10.19Mbps]
178.173.253.53:8443#NL [10.56Mbps]
5.181.134.74:443#NL [12.86Mbps]
79.137.196.233:443#NL [13.07Mbps]
91.184.242.182:443#NL [13.26Mbps]
91.90.192.37:443#NL [14.54Mbps]
37.221.127.190:2053#NL [10.47Mbps]
144.31.217.98:443#NO [7.63Mbps]
144.31.217.77:443#NO [0.00Mbps]
81.29.149.219:8443#NO [8.55Mbps]
194.5.98.105:2053#NO [9.61Mbps]
194.5.98.105:8443#NO [8.29Mbps]
194.5.98.17:443#NO [11.26Mbps]
194.32.107.150:443#NO [0.00Mbps]
89.185.81.48:443#NO [9.75Mbps]
195.86.215.26:443#PH [17.80Mbps]
38.54.87.66:443#PH [8.03Mbps]
95.156.204.82:443#PL [12.22Mbps]
185.253.44.97:443#PL [10.66Mbps]
57.128.237.14:443#PL [10.51Mbps]
89.46.235.32:8443#PL [9.78Mbps]
77.83.246.88:443#PL [12.49Mbps]
91.224.75.127:2053#PL [14.23Mbps]
145.239.88.255:8443#PL [6.30Mbps]
145.239.85.117:2053#PL [10.22Mbps]
31.133.0.105:2053#PL [13.23Mbps]
213.134.31.130:8443#PL [10.61Mbps]
5.182.39.57:443#PT [12.99Mbps]
45.12.131.34:8443#PT [9.35Mbps]
185.138.89.45:2053#PT [6.11Mbps]
185.138.89.29:8443#PT [5.69Mbps]
31.129.22.199:8443#PT [6.63Mbps]
4.244.106.243:443#QA [0.11Mbps]
156.244.43.22:443#QA [0.00Mbps]
38.180.35.88:443#RO [15.75Mbps]
64.7.198.92:443#RO [12.57Mbps]
195.133.55.2:443#RO [11.41Mbps]
86.122.14.66:443#RO [8.61Mbps]
85.120.229.131:443#RO [13.04Mbps]
176.97.76.192:443#RO [12.80Mbps]
45.136.199.148:443#RO [15.36Mbps]
45.67.34.89:443#RO [11.24Mbps]
85.120.228.76:443#RO [9.54Mbps]
185.225.17.13:443#RO [6.22Mbps]
185.48.250.164:443#RS [12.54Mbps]
89.46.236.145:443#RS [10.97Mbps]
87.121.38.57:443#RS [10.65Mbps]
38.180.100.80:443#RS [13.70Mbps]
2.56.172.184:443#RS [11.83Mbps]
45.15.160.250:443#RS [9.17Mbps]
45.15.160.220:443#RS [11.12Mbps]
87.225.88.81:8443#RU [14.76Mbps]
92.38.190.44:443#RU [高速 by Jz 30.84Mbps]
195.133.53.166:8443#RU [0.00Mbps]
109.71.242.243:8443#RU [10.01Mbps]
147.45.147.212:8443#RU [17.37Mbps]
5.35.11.205:2053#RU [16.14Mbps]
176.118.214.216:443#RU [0.00Mbps]
212.74.227.162:443#RU [13.62Mbps]
147.45.147.212:2053#RU [13.20Mbps]
95.213.226.60:443#RU [15.62Mbps]
16.16.45.85:8443#SE [6.54Mbps]
62.182.192.194:443#SE [11.60Mbps]
109.120.187.127:443#SE [11.34Mbps]
13.53.54.165:443#SE [13.21Mbps]
62.182.193.13:443#SE [13.32Mbps]
62.182.197.32:443#SE [11.79Mbps]
62.182.196.25:443#SE [14.48Mbps]
62.182.197.102:443#SE [10.67Mbps]
109.120.187.185:443#SE [10.75Mbps]
93.115.23.184:443#SE [13.78Mbps]
43.160.195.223:443#SG [高速 by Jz 28.58Mbps]
52.77.224.71:443#SG [0.00Mbps]
52.76.97.123:443#SG [高速 by Jz 27.46Mbps]
43.156.116.194:443#SG [高速 by Jz 30.87Mbps]
43.134.174.114:443#SG [8.66Mbps]
129.226.150.167:443#SG [高速 by Jz 26.87Mbps]
139.180.220.7:443#SG [高速 by Jz 32.35Mbps]
207.148.125.245:8443#SG [24.04Mbps]
129.226.196.72:443#SG [高速 by Jz 34.31Mbps]
149.28.152.204:443#SG [高速 by Jz 32.49Mbps]
194.58.66.220:443#SI [0.00Mbps]
45.129.141.188:443#SK [15.49Mbps]
5.35.103.185:8443#SK [12.93Mbps]
37.9.171.189:443#SK [9.34Mbps]
138.2.85.81:2083#TH [18.71Mbps]
45.91.134.91:2053#TH [17.48Mbps]
45.136.254.175:443#TH [18.47Mbps]
43.229.148.43:443#TH [19.36Mbps]
43.229.148.110:443#TH [18.68Mbps]
43.133.110.81:443#TH [13.38Mbps]
45.150.128.159:443#TH [17.73Mbps]
45.154.24.89:443#TH [15.23Mbps]
45.150.128.181:443#TH [15.43Mbps]
157.85.96.9:443#TH [9.80Mbps]
94.131.123.74:443#TR [10.29Mbps]
45.89.52.247:443#TR [10.05Mbps]
138.249.20.217:2053#TR [10.21Mbps]
138.249.20.76:443#TR [9.78Mbps]
82.26.198.74:2083#TR [11.98Mbps]
185.234.66.91:443#TR [9.35Mbps]
82.26.198.89:443#TR [8.52Mbps]
94.131.123.173:443#TR [6.52Mbps]
45.12.143.73:443#TR [13.23Mbps]
195.16.74.73:443#TR [12.55Mbps]
125.228.236.138:443#TW [高速 by Jz 35.13Mbps]
185.248.184.201:2053#TW [12.42Mbps]
103.137.63.227:8443#TW [0.00Mbps]
223.165.4.124:2053#TW [10.02Mbps]
223.165.4.124:8443#TW [9.52Mbps]
91.218.212.223:443#UA [0.00Mbps]
185.86.77.181:8443#UA [6.44Mbps]
